name,height_cm,weight_kg,bra,bust_in,waist_in,hips_in
Cytherea,160,48,32D,36,23,33
Dacey Harlot,155,48,32A,33,24,34
Dahlia Denyle,160,52,34B,36,24,34
Dahlia Sky,168,58,34C,37,24,33
Daiana King,157,48,32A,33,23,35
Daisy Cruz,163,48,34D,38,22,32
Daisy Dalton,161,52,34A,35,24,35
Daisy Ducati,175,59,33B,35,26,34
Daisy Dukes,163,50,34D,38,24,32
Daisy Layne,180,52,34B,36,27,37
Daisy Lee,167,53,36B,38,25,36
Daisy Monroe,153,45,32DD,37,23,33
Daisy Stone,173,52,32C,35,26,34
Daisy Summers,157,47,30B,32,24,32
Daizy Cooper,155,50,34B,36,24,35
Dakoda Brookes,160,52,32A,33,24,34
Dakota Bleu,157,48,32C,35,25,34
Dakota Charms,160,52,36A,37,26,38
Dakota James,166,52,34B,36,25,31
Dakota Skye,157,45,32B,34,25,36
Dallas Black,158,45,32B,34,23,34
Dallas Diamondz,172,61,34D,38,28,38
Damaris X,168,55,36D,40,24,37
Dana C Ashley,170,55,32C,35,23,35
Dana DeArmond,173,61,32C,35,26,37
Dana Hayes,173,66,40DD,45,30,38
Dana Lightspeed,170,51,34B,36,27,35
Dana Vespoli,170,52,34C,37,24,36
Dana Weyron,170,55,36D,40,25,36
Dana Wolf,175,52,34C,37,24,34
Dani Blu,155,46,32A,33,22,32
Dani Daniels,170,55,34C,37,25,38
Dani Dare,157,55,34DD,39,27,33
Dani Desire,170,57,32A,33,24,32
Dani Dolce,160,66,34D,38,33,42
Dani Jensen,154,47,32C,35,24,30
Dani Lynn,154,45,34B,36,24,34
Dani Woodward,165,55,34B,36,26,34
Danica Dillan,160,53,34DD,39,27,34
Danica James,187,61,34D,38,27,39
Daniella English,172,56,34G,43,30,44
Daniella Rose,170,48,33A,34,24,34
Daniella Rush,165,49,37C,40,23,35
Danielle Derek,165,46,34HH,46,23,32
Danielle FTV,167,61,38C,41,27,37
Danielle Rogers,175,56,34E,40,24,34
Danielle Soul,160,53,36B,38,26,37
Danni Cole,165,43,32D,36,24,34
Danni Lynne,168,66,36E,42,24,34
Danni Rivers,160,50,32B,34,24,34
Daphne Daniels,167,114,48D,52,44,50
Daphne Dare,152,45,30A,31,25,34
Daphne Klyde,168,59,36B,38,24,36
Daphne Rosen,160,59,34G,43,24,38
Darce Lee,170,55,36D,40,24,36
Darcie Belle,154,48,34C,37,24,34
Darcy Tyler,173,57,34D,38,27,37
Daria Glover,163,52,35D,39,26,37
Darla Crane,167,57,34DD,39,26,35
Darling Deicide,163,50,34B,36,30,32
Darryl Hanah,178,61,36D,40,27,37
Daryn Darby,175,61,36C,39,26,34
Dasani Lezian,157,52,34C,37,24,34
Dava Foxx,165,49,34C,37,24,35
Davia Ardell,150,55,36D,40,23,35
Dawn Allison,163,57,32DDD,38,25,36
Dawn Phoenix,165,59,38G,47,28,38
Daya Knight,167,57,34DD,39,26,38
Dayna Vendetta,165,61,34DD,39,27,35
Dayton Rains,154,49,34DD,39,24,34
Daytona X,168,55,34C,37,24,35
Deauxma,170,61,32G,41,25,35
Debbie Clark,170,58,34C,37,26,32
Debbie Dial,170,57,34B,36,26,30
Debbie White,165,51,34C,37,23,33
Debi Diamond,182,57,34DD,39,26,37
Dee,165,47,34C,37,20,34
Dee Dee Deluxx,170,59,42H,53,22,34
Dee Dee Lynn,170,49,32DD,37,24,32
Dee Delmar,168,61,36DD,41,26,36
Dee Siren,155,59,36D,40,27,38
Dee Williams,163,58,34DDD,40,27,36
Deena Daniels,160,51,36B,38,26,36
Deidre Holland,163,48,36C,39,24,34
Deja Daire,173,54,34A,35,28,34
Delilah Black,161,95,42DDD,48,35,47
Delilah Blue,171,59,36C,39,25,36
Delilah Davis,165,52,34A,35,28,36
Delilah Strong,175,59,36D,40,26,36
Delirious Hunter,168,62,34B,36,28,39
Della Dane,171,67,34D,38,28,42
Delotta Brown,170,72,36I,45,28,40
Delta White,154,52,30G,39,26,32
Demi Dantric,171,50,34D,38,24,34
Demi Delia,160,47,36F,43,23,25
Demi Rouge,165,55,32B,34,24,34
Denice K,168,60,32C,35,24,34
Denisa Heaven,157,50,34B,36,24,35
Denise Everheart,170,59,34C,37,28,36
Denise Sky,162,54,40A,41,25,36
Desirae Spencer,175,70,34C,37,25,37
Desire Moore,163,45,34B,36,24,34
Desiree Dalton,177,61,34D,38,26,37
Desiree De Luca,168,59,34F,41,28,36
