name,height_cm,weight_kg,bra,bust_in,waist_in,hips_in
Kourtney Rae,157,49,32C,35,22,34
Kream,162,57,32DD,37,24,31
Krista Kaslo,171,55,36DD,41,25,37
Kristal Summers,167,48,34D,38,24,33
Kristara Barrington,170,56,34C,37,24,36
Kristen Cameron,165,50,33B,35,25,34
Kristen Jordan,173,59,34B,36,24,36
Kristi Love,160,54,36D,40,27,37
Kristi Lust,165,55,34C,37,24,36
Kristi Maxx,178,100,38F,45,28,42
Kristina Black,163,50,34B,36,26,34
Kristina Blond,168,56,34C,37,24,36
Kristina Cross,160,50,36C,39,24,34
Kristina Milan,168,75,42K,53,27,38
Kristine Crystalis,169,53,35B,37,24,35
Kristy Black,160,49,30A,31,23,39
Kristy May,161,45,32B,34,24,34
Kristy Roman,160,47,35C,38,24,35
Kristy Snow,165,55,34D,38,25,35
Kristy West,163,52,34DD,39,26,35
Krystal Boyd,172,42,30B,32,23,32
Krystal Jordan,163,59,36B,38,26,38
Krystal Kash,168,61,34C,37,24,36
Krystal Orchid,157,45,34B,36,24,28
Krystal Steal,165,48,34D,38,24,34
Krystal Webb,162,48,30FF,38,24,32
Kya Tropic,160,61,36D,40,32,38
Kyanna Lee,157,51,34B,36,28,36
Kyla Cole,170,54,36D,40,25,36
Kylee King,160,49,34B,36,26,36
Kylee Strutt,157,55,36DD,41,25,34
Kyleigh Ann,150,40,34A,35,22,34
Kyler Quinn,165,45,34B,36,24,28
Kylie Deville,175,56,34DD,39,26,35
Kylie Ireland,165,69,36D,40,26,34
Kylie Kalvetti,165,51,33B,35,25,36
Kylie Kay,162,55,35B,37,27,35
Kylie Le Beau,176,52,34B,36,24,34
Kylie Martin,158,47,32B,34,23,24
Kylie Quinn,165,50,34B,36,24,36
Kylie Reese,157,50,34B,36,26,35
Kylie Rey,152,50,34B,36,25,36
Kylie Richards,173,57,34A,35,24,35
Kylie Rocket,161,45,32A,33,24,34
Kylie Rose,150,45,34C,37,24,34
Kylie Sinner,173,61,36B,38,24,36
Kylie Sky,157,50,34C,37,26,36
Kylie Worthy,170,57,34G,43,27,36
Kylie Wylde,155,47,34B,36,22,34
Kymberlee Anne,165,51,34C,37,25,36
Kyoka Ishiguro,167,45,33C,36,23,33
Kyra Hot,164,58,36DD,41,25,36
Kyra Rose,173,55,34C,37,26,32
Lacey Duvalle,157,41,34DD,39,21,36
Lacey Leveah,168,50,34B,36,22,30
Lacey Little,154,45,33B,35,23,33
Lacie Heart,168,51,36B,38,27,35
Lacie James,161,51,34DD,39,26,36
Lacy Rose,173,59,35B,37,25,35
Lady Bug,153,48,32A,33,25,38
Lady Dee,176,48,32A,33,23,34
Lady Rebeca,163,58,36D,40,24,35
Lady Sonia,172,52,34F,41,24,35
Lady Spice,167,86,38F,45,28,38
Laela Pryce,170,59,36D,40,27,38
Lain Oi,170,55,34D,38,22,32
Lake Russell,175,55,34C,37,24,36
Lala Ivey,168,59,32C,35,24,34
Lana Cox,167,50,32E,38,24,34
Lana Croft,157,44,32B,34,22,32
Lana Ess,165,58,32B,34,23,33
Lana Lopez,155,47,32C,35,28,34
Lana Roberts,180,60,34A,35,25,36
Lana Seymour,170,51,34C,37,25,36
Lana Sharapova,170,57,32B,34,22,32
Lana Vegas,173,64,38D,42,26,37
Lana Violet,152,56,36B,38,29,36
Laney Grey,158,55,34B,36,26,37
Lanna Carter,157,48,34B,36,22,32
Lanny Barbie,165,50,36D,40,25,35
Lara Brookes,166,52,34B,36,23,34
Lara Craft,165,54,34C,37,24,35
Lara De Santis,165,50,37D,41,27,38
Lara Latex,178,62,34D,38,27,36
Lara Onyx,167,54,34B,36,24,32
Lara Page,162,45,33B,35,24,35
Lara Stevens,170,50,38C,41,28,37
Lara Tinelli,172,58,36D,40,25,37
Larissa Dee,178,52,34B,36,25,37
Larkin Love,166,58,32J,45,24,36
LaTaya Roxx,175,62,36DD,41,25,38
Latex Lucy,163,50,32GG,42,23,35
Laura Angel,165,55,37B,39,23,37
Laura Bentley,158,48,34B,36,22,33
Laura Crystal,163,50,34C,37,24,36
Laura Lion,168,55,36D,40,25,36
Laura Orsolya,178,62,38FF,46,32,42
Laureen Pink,181,65,30D,34,28,38
Lauren May,165,51,34B,36,25,36
Lauren Phoenix,178,59,36B,38,25,36
Laurie Vargas,165,64,32DD,37,27,39
Lavana Lou,174,55,34A,35,25,36
Lavender Rayne,167,61,36E,42,29,36
Lavish Styles,160,55,38DD,43,25,37
Layla Adams,168,57,34C,37,24,28
Layla Jade,163,50,34D,38,24,33
Layla London,157,51,34DD,39,25,36
Layla Love,165,57,36C,39,26,32
Layla Monroe,175,57,34C,37,25,35
Layla Redd,165,53,34A,35,28,35
Layla Rivera,170,54,36D,40,24,34
Layla Rose,152,48,34D,38,26,34
Layla Sin,168,52,34B,36,24,36
Layna Landry,175,66,34D,38,26,38
Layton Benton,170,61,40DDD,46,26,50
Lea Guerlin,158,45,32C,35,22,32
Lea Hart,161,50,34B,36,26,34
Lea Lexus,162,55,36C,39,26,37
Lea Magic,157,56,34D,38,25,30
Leah Cortez,154,45,32A,33,25,36
Leah Jaye,155,50,40DD,45,26,36
Leah Lexington,160,55,34DD,39,28,36
Leah Luv,168,52,36A,37,24,34
Leah Moore,175,55,34C,37,23,32
Leah Winters,178,59,32A,33,24,34
Leanna Heart,160,50,35D,39,22,34
Leanna Sweet,173,49,34B,36,23,36
Lee Madison,168,61,42DD,47,30,40
Leena Sky,161,55,36DD,41,28,34
Leenuh Rae,160,50,34B,36,27,36
Leigh Darby,181,62,32G,41,28,35
Leigh Livingston,160,54,34D,38,25,35
Leigh Raven,173,55,32B,34,25,33
Leigh Rose,165,50,32D,36,24,36
Leighlani Red,160,55,32C,35,25,36
Leila Smith,166,49,30A,31,24,34
Leilani Lei,155,49,34AA,34,27,34
Leilani Li,150,50,34B,36,24,36
Lela Star,155,48,34C,37,25,32
Lena Juliette,165,50,34B,36,23,35
Lena Love,168,49,35C,38,24,35
Lena Nitro,157,45,34A,35,23,36
Lena Paul,163,58,32DDD,38,25,36
Lena Ramon,168,55,32B,34,24,32
Lena Reif,168,55,32B,34,24,34
Lenina Crowne,178,55,34DD,39,26,38
Lenka Gaborova,163,49,36D,40,24,36
Lennox Luxe,160,61,34DD,39,24,36
Leona Lee,171,62,36D,40,28,38
Leona Queen,160,53,31B,33,24,31
Leony Aprill,158,46,34B,36,23,34
Lepidoptera,167,50,33B,35,24,33
Leslie Sierra,152,43,32B,34,26,36
Lexi Bardot,178,55,34C,37,25,36
Lexi Belle,160,48,32C,35,24,33
Lexi Bloom,155,43,32C,35,24,36
Lexi Brooks,160,53,33B,35,24,36
Lexi Diamond,157,47,34C,37,23,26
Lexi Dona,160,45,32B,34,23,35
Lexi Kartel,162,51,32D,36,27,35
Lexi Lamour,173,59,34DDD,40,25,35
Lexi Lapetina,160,57,34C,37,25,35
Lexi Layo,165,48,32B,34,24,34
Lexi Lore,165,45,34B,36,24,35
Lexi Love,152,45,34B,36,26,34
Lexi Lovell,170,57,34C,37,26,36
Lexi Luna,171,61,34DDD,40,27,39
Lexi Mansfield,171,54,34C,37,24,37
Lexi Reinz,175,51,34C,37,23,33
Lexi Swallow,170,57,32D,36,26,32
Lexi Ward,162,57,34FF,42,28,34
Lexie Candy,161,60,37C,40,28,40
Lexie Fox,165,48,32B,34,22,32
Lexxi Steele,163,55,32DD,37,24,36
Lexxxi Lockhart,152,52,34DD,39,25,40
Lexxxi Nicole,161,48,34DD,39,24,34
Leya Falcon,168,57,34DD,39,25,38
Leyla Black,165,48,34B,36,25,35
Leyla Peachbloom,173,50,32B,34,23,34
Lezley Zen,168,50,34D,38,24,35
Lia Lor,165,52,34B,36,25,34
Lia M,165,52,36C,39,25,36
Lia Shayde,173,67,36H,47,29,36
Lia Taylor,165,50,36C,39,28,34
Lichelle Marie,175,57,36E,42,23,33
Licious Gia,170,61,36DD,41,28,38
Licky Lex,168,56,34C,37,24,36
Lil Tammy,150,38,32AA,32,23,35
Lili Marlene,163,50,34C,37,24,34
Lili Tiger,165,55,34C,37,24,38
Lilian Stone,168,58,34G,43,24,36
Liliane Tiger,160,53,35B,37,25,37
Lilith Addams,165,59,34C,37,24,40
Lilith Lust,153,55,34DD,39,28,34
Lilli Dixon,157,45,32D,36,24,34
Lilli Vanilli,165,60,38C,41,35,37
Lillian Tesh,157,52,36B,38,27,38
Lilly Banks,162,55,34B,36,26,36
Lilly Bell,157,48,32C,35,24,34
Lilly Evans,162,48,34C,37,24,35
Lilly Ford,150,41,32A,33,22,33
Lilly Hall,163,55,34C,37,24,36
Lilly Kingston,160,55,32B,34,23,32
Lilly Love,160,57,34D,38,27,37
Lilly Lovely,153,60,36D,40,25,35
Lilly Sapphire,165,50,34C,37,24,32
Lilu Moon,163,41,27B,29,23,33
Lily Adams,168,52,32C,35,24,34
Lily Cade,167,59,32D,36,27,36
Lily Ivy,168,52,32D,36,22,32
Lily Jordan,155,52,32B,34,24,28
Lily LaBeau,175,55,34C,37,26,36
Lily Lane,163,52,32E,38,26,36
Lily Larimar,163,48,30B,32,24,30
Lily Lovecraft,171,52,32A,33,24,34
Lily Paige,168,55,34D,38,26,34
Lily Rader,168,52,32A,33,26,35
Lilyan Red,171,56,32C,35,25,35
Lina Luxa,180,58,36B,38,25,33
Lina Napoli,163,51,34A,35,25,37
Lina Paige,160,44,32B,34,24,32
Linda Brown,168,45,34C,37,26,37
Linda Lay,149,42,32DD,37,24,28
Linda LeClair,176,60,32B,34,29,39
Linda Ray,175,57,34B,36,25,34
Lindsay Kay,175,59,34B,36,27,38
Lindsay Meadows,152,45,34A,35,23,32
Lindsey Cruz,154,48,32B,34,23,31
Lindsey Olsen,172,55,35A,36,26,36
Lindsey Woods,157,48,34B,36,21,28
Linet A Lynette,168,52,38C,41,24,33
Linsey Dawn Mckenzie,163,51,36E,42,23,36
Linzee Ryder,165,50,32E,38,25,32
Lisa Ann,157,51,38DD,43,26,34
Lisa Daniels,160,49,34D,38,26,36
Lisa Lee,160,58,36C,39,26,32
Lisa Luv,157,48,34B,36,24,34
Lisa Marie,175,59,34B,36,24,34
Lisa Marie Heart,155,52,38DD,43,28,36
Lisa Sparxxx,173,72,36DDD,42,32,38
Lisa Tiffian,171,64,36DD,41,27,42
Lisey Sweet,168,55,32C,35,24,35
Lita Phoenix,167,45,34C,37,26,35
Little Caprice,168,48,32B,34,25,34
Little Taylor,162,52,34C,37,24,34
Liv Revamped,153,45,33B,35,23,34
Liv Wild,157,52,34C,37,26,32
Liv Wylder,162,48,34A,35,22,32
Liya Silver,162,50,34D,38,22,32
Liz Honey,165,50,34B,36,26,36
Liz Rainbow,168,57,33B,35,34,35
Liz Valery,167,53,32A,33,21,31
Liza Del Sierra,163,53,40D,44,26,36
Liza Harper,168,51,32B,34,24,33
Liza Kolt,165,53,37B,39,24,37
Liza Rowe,167,55,32B,34,24,34
Liza Shay,166,48,32A,33,25,34
Lizz Tayler,162,55,34D,38,24,34
Lizzie Bell,153,44,32B,34,24,34
Lizzie Tucker,172,60,34B,36,28,34
Lizzy London,170,52,34D,38,24,30
Logan Bella,175,50,32B,34,26,34
Lola Chanel,163,50,34D,38,24,36
Lola Fae,150,41,28A,29,22,28
Lola Foxx,152,50,32B,34,24,36
Lola Hot,155,65,38DD,43,34,38
Lola Hunter,165,42,34A,35,24,33
Lola Lane,157,59,34F,41,25,34
Lola Luscious,173,59,34DDD,40,26,37
Lola Marie,161,55,32DD,37,24,34
Lola Reve,165,48,34A,35,22,33
Lola Taylor,160,49,31A,32,24,37
Lolly Badcock,165,50,34B,36,26,36
Lolly Gartner,168,50,33D,37,23,36
Lolly Ink,165,52,34DD,39,24,35
London Keyes,163,59,34D,38,27,36
Loni,160,50,34C,37,24,34
Loni Evans,158,47,36DD,41,25,35
Loona Luxx,162,50,36DD,41,25,36
Lorelei Lee,165,57,34C,37,27,35
Lorena Sanchez,160,55,36C,39,24,36
Lori Anderson,168,46,34B,36,24,34
Lori Lust,163,52,34D,38,24,33
Lorna Morgan,160,56,36HH,48,24,35
Lotus Lain,170,59,34B,36,26,38
Lou Charmelle,160,45,32A,33,24,34
Louise Jenson,166,50,30HH,42,22,30
LouLou,149,45,32G,41,24,33
Loulou Petite,155,48,32G,41,26,28
Love Twins,157,47,36B,38,24,32
Lovita Fate,161,52,32B,34,23,36
Luca Bella,165,54,32C,35,25,36
Lucia Denvile,162,54,34B,36,28,37
Lucia Fernandez,165,58,36D,40,24,36
Lucia Lace,171,59,36C,39,26,34
Lucia Love,165,60,32F,39,24,36
Lucianna Karel,163,50,34A,35,24,34
Lucie Horinkova,168,46,32A,33,23,34
Lucie Kline,147,45,34B,36,23,34
Lucie Lee,173,53,34A,35,24,34
Lucie Theodorova,168,55,34B,36,24,34
Lucie Wilde,168,56,32G,41,26,37
Lucky Starr,152,46,34A,35,27,34
Lucy Bell,167,53,34B,36,24,36
Lucy Belle,168,55,38D,42,24,36
Lucy Doll,160,45,32A,33,26,34
Lucy Heart,170,60,34B,36,27,37
Lucy Lee,165,50,33C,36,24,34
Lucy Levon,157,49,34A,35,27,34
Lucy Li,167,52,34DD,39,25,37
Lucy Love,157,50,36D,40,26,38
Lucy Shy,170,60,35C,38,24,35
Lucy Thai,155,45,36C,39,24,34
Lucy Tyler,157,55,32B,34,23,34
Lullu Gun,160,45,32B,34,23,32
Lulu Chu,149,41,32AA,32,24,34
Lulu Love,168,54,34B,36,25,36
Lulu Martinez,165,57,34B,36,25,37
Luna Azul,162,58,36D,40,25,35
Luna Corazon,172,55,34B,36,24,34
Luna Daniels,157,52,34B,36,24,30
Luna Light,163,52,34B,36,22,32
Luna Lovely,157,41,32C,35,24,26
Luna Rival,157,46,32A,33,26,32
Luna Star,162,51,34D,38,24,35
Luscious Lopez,165,59,36B,38,24,38
Luxury Princess,165,55,36G,45,30,36
Lya Pink,162,50,34D,38,27,37
Lydia Black,162,48,34B,36,22,34
Lyen Parker,180,50,32A,33,24,32
Lyla Lei,157,47,34D,38,24,34
Lyla Storm,173,55,34B,36,24,35
Lylith Lavey,163,54,38DD,43,27,36
Lynda Leigh,167,54,34E,40,24,34
Lynn Love,162,52,34B,36,26,38
Lynn Vega,171,55,32C,35,26,32
Lyra Law,170,52,34B,36,26,34
Lyra Lockhart,154,52,34D,38,28,37
Maci Lee,172,61,34B,36,26,36
Maci Winslett,158,45,32C,35,24,34
Mackenzee Pierce,165,59,37D,41,26,39
Mackenzie Lohan,158,50,32B,34,24,34
Mackenzie Mace,160,48,32B,34,24,32
Mackenzie Moss,163,43,32B,34,24,32
Macy Meadows,160,46,32B,34,22,34
Macy Nata,172,50,36B,38,27,38
Maddy May,157,51,34DD,39,24,36
Maddy Oreilly,170,58,34B,36,24,35
Maddy Rose,160,43,32A,33,23,33
Madelyn Marie,171,57,36DD,41,26,36
Madelyn Monroe,167,57,34B,36,23,34
Madison Chandler,157,45,34C,37,24,34
Madison Hart,152,48,32B,34,25,35
Madison Ivy,150,40,34DD,39,24,34
Madison James,168,58,36D,40,27,36
Madison Missina,157,58,39E,45,29,38
Madison Parker,160,51,32A,33,24,36
Madison Rose,177,67,36DD,41,28,44
Madison Scott,155,41,32DD,37,20,26
Madison Young,157,52,34A,35,27,36
Madlin Moon,163,52,36B,38,26,37
Mae Lynn,155,45,32C,35,22,34
Mae Olsen,153,38,32A,33,22,26
Mae Victoria,152,50,32D,36,24,35
Magda Johanssen,163,52,34B,36,25,36
Magdalene St.Michaels,173,66,38C,41,29,39
Maggie Green,167,65,36FF,44,28,37
Maggie Star,160,50,34B,36,24,34
Mahina Zaltana,157,55,36C,39,24,36
Mai Bailey,175,55,32G,41,24,34
Mai Hanano,170,46,36D,40,23,35
Mai Ly,163,52,34DD,39,25,36
Maia Davis,175,45,34A,35,30,34
Maitland Ward,175,59,36D,40,26,36
Maitresse Madeline,172,56,32C,35,26,32
Makayla Cox,170,61,34DD,39,26,36
Makenna Blue,165,53,33A,34,26,37
Maki Houjo,168,50,33D,37,23,34
Malina Mars,161,55,32B,34,24,34
Malisa Moir,168,55,34B,36,24,35
Mallory Rae,172,52,34B,36,25,34
Mandi McGraw,172,67,40DD,45,30,41
Mandy Bright,173,53,36D,40,26,39
Mandy Dee,162,52,34DD,39,25,37
Mandy Flores,163,53,34D,38,25,33
Mandy Majestic,163,126,42K,53,40,50
Mandy Muse,160,55,32B,34,27,43
Mandy Saxo,170,60,34B,36,23,36
Mandy Sky,168,55,35B,37,25,36
Mandy Snyder,173,55,34C,37,26,32
Mandy Sweet,170,61,34DD,39,28,36
Manu Magnum,165,57,34D,38,24,34
Mar Punch,173,53,34C,37,27,41
Mara Gri,157,52,34A,35,25,37
Mara Lopez,170,54,35D,39,25,35
Mara Martinez,157,52,34B,36,26,35
Mara Swan,155,46,36D,40,24,36
Marcellinha Moraes,173,54,34B,36,25,37
Margarita C Peachy,167,55,32C,35,23,28
Margarita Salazar,167,55,32A,33,24,34
Margo Sullivan,162,55,38D,42,31,36
Maria Bellucci,170,56,35C,38,25,35
Maria Jade,157,55,34C,37,24,38
Maria Marez,165,53,36B,38,27,38
Maria Mia,157,48,37C,40,27,35
Maria Moore,160,67,44FF,52,30,42
Maria Ozawa,162,48,35DD,40,23,34
Mariah Madysinn,163,50,32D,36,25,35
Mariah Milano,165,48,34DD,39,22,34
Mariana Kriguer,170,51,34C,37,24,34
Marica Hase,154,43,32C,35,22,35
Marie Leone,157,64,34J,47,30,40
Marie Luv,173,61,34B,36,24,34
Marie McCray,157,45,32C,35,24,32
Marie Silva,163,55,34C,37,23,36
Marilyn Mansion,162,51,32D,36,23,26
Marilyn Mayson,162,91,38H,49,36,50
Marilyn Moore,172,64,34D,38,26,35
Marina Angel,160,50,32B,34,25,36
Marina Beaulieu,160,50,34D,38,25,35
Marina Visconti,157,52,34DD,39,26,39
Mariska X,173,55,38D,42,28,37
Marketa Brymova,172,60,32D,36,26,37
Marketa Sv,171,53,34B,36,24,36
Marley Blaze,165,57,36B,38,27,36
Marley Mason,180,67,36D,40,29,42
Marley Matthews,168,53,34B,36,26,35
Marlyn Lindsay,161,52,32E,38,27,36
Marry Dream,172,59,34B,36,25,33
Marry Lynn,161,47,32B,34,24,30
Marry Queen,173,56,36D,40,26,37
Marsha May,150,43,32D,36,24,32
Marta Sanz,167,53,36C,39,23,36
Martina Fox,168,48,34B,36,25,34
Mary Anne,160,52,34A,35,26,32
Mary Carey,175,61,36DD,41,26,36
Mary Jane Johnson,157,50,32A,33,22,32
Mary Jane Mayhem,160,49,36D,40,27,37
Mary Jean,163,53,32DD,37,24,36
Mary Rider,160,53,34D,38,24,36
Mary Rock,168,58,34B,36,25,36
Maserati XXX,163,77,40JJ,54,28,40
Masie Dee,160,50,30D,34,25,30
Mason Moore,165,56,34DD,39,26,34
Mason Storm,145,55,34D,38,24,34
Mattie Borders,153,45,34B,36,25,35
Max Mikita,170,59,36B,38,28,36
Maxi Booty,154,52,34C,37,25,35
Maxim Law,171,57,34D,38,26,36
Maxine X,157,55,36DD,41,26,36
May Thai,160,52,34B,36,25,35
Maya Bijou,152,45,32B,34,24,34
Maya Divine,168,55,34DD,39,25,36
Maya Gates,163,50,34C,37,25,34
Maya Grand,165,57,34C,37,26,38
Maya Hills,170,55,34D,38,26,34
Maya Mona,157,52,32C,35,25,34
Maya Morena,160,57,32D,36,25,35
Mazzaratie Monica,158,72,38DD,43,32,50
Mazzy Grace,180,52,32C,35,22,34
Mckenzee Miles,163,50,34D,38,20,32
McKenzie Lee,163,48,32DD,37,26,32
Mckenzie Sweet,167,55,34C,37,28,38
Mea Melone,163,51,34C,37,24,36
Meagan Vaughn,165,57,34C,37,24,38
Medusa Porn,164,57,34A,35,26,37
Megan Blue,155,51,34C,37,23,34
Megan Inky,163,74,36DD,41,25,36
Megan Jones,175,65,36DD,41,26,38
Megan Monroe,160,56,34D,38,25,36
Megan Piper,160,50,34B,36,27,36
Megan Pryce,152,59,36B,38,26,38
Megan Rain,155,43,32D,36,27,35
Megan Sweetz,157,48,36B,38,24,34
Megan Winters,168,52,32B,34,22,32
Meggan Powers,172,45,32C,35,26,34
Megumi Shino,163,46,31A,32,23,30
Meguru Kosaka,157,49,35DDD,41,24,34
Megyn Mason,150,50,32DD,37,27,36
Mei Haruka,162,49,33B,35,22,33
Melanie Crush,163,47,34B,36,23,35
Melanie Gold,168,50,34B,36,23,35
Melanie Hicks,160,62,34D,38,24,36
Melanie Jagger,160,55,34C,37,25,35
Melanie Jane,161,44,32B,34,24,34
Melanie Jayne,162,57,34B,36,27,36
Melanie Masters,145,41,32B,34,24,34
Melanie Memphis,170,56,34B,36,27,37
Melanie Moon,163,50,42J,55,25,35
Melina Mason,160,55,34F,41,25,36
Melisa Mendiny,158,44,34C,37,24,36
Melissa Black,175,52,34B,36,26,35
Melissa Doll,157,44,34D,38,25,34
Melissa Grand,165,49,38AA,38,23,34
Melissa Lauren,165,52,34D,38,23,33
Melissa Lynn,163,50,32D,36,26,34
Melissa May,172,60,34B,36,27,36
Melissa Monet,155,50,32DD,37,23,33
Melissa Moore,162,50,32D,36,24,34
Melissa Pitanga,149,43,34D,38,24,37
Melissa Ria,170,54,36C,39,27,36
Mellanie Monroe,167,67,34D,38,28,42
Melody Cummings,168,53,32C,35,23,30
Melody Jordan,175,66,34C,37,27,38
Melody Marks,160,55,32D,36,26,34
Melody Nakai,155,53,34C,37,25,38
Melody Parker,166,57,34C,37,24,36
Melody Petite,155,53,34B,36,22,37
Melody Star,165,52,34D,38,23,35
Melody Wylde,162,50,33A,34,25,36
Melrose Foxxx,157,52,32C,35,24,36
Memphis Monroe,168,53,36DD,41,25,36
Mercedes Ashley,160,58,34D,38,28,32
Mercedes Carrera,172,61,34DD,39,26,40
Mercy Starr,163,50,34D,38,24,32
Mery Monro,163,55,36C,39,24,34
Mi Ha Doan,163,52,36B,38,24,36
Mia Austin,162,54,34B,36,25,31
Mia Bangg,170,66,36D,40,28,36
Mia Ferrari,154,51,32B,34,25,34
Mia Gold,162,52,32B,34,23,36
Mia Hilton,172,52,32B,34,25,36
Mia Hurley,165,47,34D,38,24,36
Mia Kay,163,57,38D,42,24,36
Mia Khalifa,158,55,34E,40,26,36
Mia Lelani,162,57,34D,38,28,36
Mia Li,155,57,34D,38,25,35
Mia Lina,168,45,33A,34,24,34
Mia Linz,160,54,40D,44,25,28
Mia Malkova,171,54,34C,37,26,36
Mia Martinez,160,55,34DD,39,24,36
Mia Melano,180,67,36DD,41,24,36
Mia Pearl,167,59,32D,36,26,36
Mia Rider,154,50,34DD,39,25,33
Mia Rose,160,50,33C,36,23,33
Mia Smiles,170,51,32C,35,22,35
Mia Sollis,168,50,34B,36,23,34
Mia Split,170,57,34B,36,26,36
Miaa Moore,155,55,32B,34,23,34
Micah Moore,172,57,34C,37,24,34
Michelle Avanti,152,45,34B,36,26,33
Michelle Barrett,168,52,32DD,37,24,35
Michelle Can,157,48,34A,35,23,34
Michelle Honeywell,163,50,34A,35,26,36
Michelle Lay,168,52,34B,36,22,32
Michelle Martinez,157,50,32C,35,25,31
Michelle Maylene,157,44,34B,36,24,32
Michelle Moist,162,50,32B,34,25,32
Michelle Sweet,163,48,34A,35,24,36
Michelle Taylor,157,44,32B,34,25,30
Michelle Thorne,160,45,32E,38,22,32
Michelle Wild,163,50,34D,38,24,36
Michelles Nylons,163,59,32FF,40,28,38
Mickey Tyler,165,55,34C,37,27,36
Micky Lynn,163,46,35B,37,25,35
Mika Kani,160,45,34D,38,25,34
Mika Tan,162,55,36D,40,28,38
Mikayla,172,59,34D,38,28,38
Mikayla Mico,165,50,32B,34,28,38
Mikki Lynn,171,50,32C,35,25,33
Miko Dai,166,48,32A,33,24,34
Miko Lee,175,57,34D,38,24,34
Miko Sinz,162,50,34A,35,24,34
Miku Airi,152,45,33B,35,22,33
Mila Brite,158,55,34DD,39,25,35
Mila Castro,175,55,32A,33,24,34
Mila Fox,165,58,32C,35,26,36
Mila Jade,160,46,32A,33,26,30
Mila Marx,154,50,32C,35,30,36
Mila Milan,167,50,40E,46,25,36
Milana Fox,160,50,33A,34,24,34
Milena Devi,181,60,38A,39,25,35
Miley Ann,165,55,34C,37,24,34
Mili Jay,165,47,32B,34,24,34
Milla Yul,175,52,34B,36,26,36
Millian Blu,152,55,34B,36,26,39
Millie Stone,168,61,36C,39,24,38
Milly Moris,170,54,37E,43,24,37
Mimi Farra,163,57,34C,37,28,36
Mimi Moore,166,58,36C,39,28,34
Mina Gorey,160,55,34C,37,26,36
Mina Moon,158,52,32DD,37,26,36
Mina Sauvage,165,52,34D,38,24,36
Mindy Main,163,53,36D,40,24,36
Minnie St Claire,165,55,32D,36,25,36
Mira Sunset,173,61,36C,39,23,34
Miranda Miller,170,52,33A,34,26,33
Miriam Prado,155,48,36D,40,24,37
Miriama Kunkelova,160,42,32B,34,23,34
Mis Stacy,166,52,36D,40,26,37
Misa Kikouden,158,37,34A,35,22,33
Mischa Brooks,157,50,34B,36,28,37
Mischel Lee,163,55,36DD,41,24,36
Misha Cross,168,50,32A,33,24,34
Misha Mynx,163,48,32C,35,24,34
Miss Goldie,160,50,34B,36,24,35
Miss Hybrid,167,56,34E,40,27,35
Miss Platinum,160,61,34B,36,29,39
Miss Raquel,170,69,36D,40,26,47
Miss Rican,162,55,34D,38,25,42
Missy Luv,163,48,34A,35,23,34
Missy Martinez,170,61,36DD,41,28,36
Missy Maze,163,51,34D,38,26,30
Missy Monroe,165,61,34D,38,26,32
Missy Nicole,160,48,34A,35,23,34
Missy Stone,157,45,32B,34,25,34
Missy Woods,165,55,34D,38,25,36
Mistress Angellica,152,45,32C,35,24,35
Misty Mild,170,55,34C,37,26,37
Misty Quinn,160,48,33D,37,24,36
Misty Rain,170,52,35B,37,23,35
Misty Stone,165,55,32A,33,25,35
Misty Vonage,170,53,34DD,39,25,33
Miya Stone,155,46,32C,35,24,34
Miyuki Son,161,58,34C,37,24,35
Miyuki Yokoyama,156,58,32B,34,22,35
MJ Fresh,173,61,34DD,39,24,36
Mocha Menage,165,67,34C,37,27,40
Moe Yoshikawa,157,52,33C,36,23,35
Molly Bennett,168,50,34C,37,25,35
Molly Cavalli,162,52,34D,38,25,32
Molly Jane,171,57,32DDD,38,24,36
Molly Mae,168,48,32C,35,24,34
Molly Manson,170,52,32B,34,24,35
Molly O'Dell,161,50,32B,34,26,36
Momoka Nishina,166,51,39J,52,22,34
Momoko Mitchell,171,52,36D,40,24,38
Mona Kim,160,45,33AA,33,24,33
Mona Lee,170,55,32D,36,27,34
Mona Summers,174,64,36C,39,26,37
Mona Wales,175,52,36B,38,24,35
Mone Divine,152,52,34D,38,26,38
Monica Asis,153,48,32D,36,24,34
Monica Breeze,160,55,34B,36,24,36
Monica Foster,168,55,34C,37,24,35
Monica Lion,183,62,35D,39,30,38
Monica Mattos,160,51,34B,36,24,36
Monica Mayhem,165,52,34D,38,24,34
Monica Mendez,165,61,34G,43,25,36
Monica Morales,165,57,34C,37,25,36
Monica Rise,155,50,32C,35,24,32
Monica Sage,154,52,32C,35,26,35
Monica Santhiago,160,60,33L,45,25,39
Monica Sweet,162,47,34B,36,26,36
Monica Sweetheart,175,48,34B,36,25,35
Monica Unco,173,50,33B,35,23,33
Monika Benz,170,52,35B,37,24,35
Monika Udvari,170,57,36C,39,26,36
Monique,157,52,34B,36,24,34
Monique Alexander,165,46,32C,35,24,34
Monique DeMoan,170,52,34C,37,24,34
Monique Fuentes,177,61,34D,38,24,36
Monique Woods,168,52,34AA,34,23,34
Montanna Rae,167,55,34B,36,26,34
Montse Swinger,161,62,36B,38,26,38
Morgan Lee,155,50,32A,33,26,33
Morgan Leigh,163,50,30J,43,23,34
Morgan Moon,165,52,34B,36,26,38
Morgan Ray,173,57,36DDD,42,26,38
